,Label String,Attitude,Type,Label Corrs
0,I like my phone.,2,S,"(1.0,0.6610782,0.4246745,0.4598161,0.5202485,0.47544384,0.41546053,0.4571042,0.09288537,0.16374406,0.20240521,0.23024479,0.16591913,0.0969678,0.1396691,0.18722436,0.29327536,0.12269993,0.08146898,0.20046484,0.13678172,0.22871716,0.20940304,0.16732618,0.10395779,0.0750312,0.13420959,0.068058856,0.13468993,0.028877156,0.10812651,0.12727675)"
1,My phone is not good.,-2,S,"(0.6610782,1.0000001,0.6443014,0.41627586,0.51762927,0.52875066,0.47946915,0.5994167,0.08760293,0.17922145,0.10500723,0.1561893,0.24402072,0.10816367,0.110342175,0.11369533,0.32625592,0.21098343,0.0848424,0.21463613,0.17904782,0.13414232,0.08045989,0.19509691,0.068622105,0.0819518,0.18938272,0.06742349,0.26239052,0.12938228,0.1358435,0.11445383)"
2,What is wrong with your phone?,-2,Q,"(0.4246745,0.6443014,0.99999976,0.5388479,0.5470402,0.5212574,0.29936624,0.4700976,0.062296126,0.12633386,0.042775065,0.12133606,0.16325063,0.009807335,0.19690503,0.108132385,0.18088892,0.03451282,0.057013094,0.16572481,0.1242733,0.071571544,0.012627926,0.094339356,0.14009222,0.11765836,0.12215821,0.19399291,0.2545433,0.27955794,0.15503031,0.26752505)"
3,Good to see that you are enjoying your phone!,2,S,"(0.4598161,0.41627586,0.5388479,0.9999999,0.68771255,0.52659565,0.40452147,0.46409044,0.08430824,0.08931596,0.055716556,0.167069,0.045966715,0.070648335,0.21213108,0.21094514,-0.0028579105,0.01346554,0.014446436,0.13694671,0.15890113,0.12944466,0.06484099,0.035581924,0.20151836,0.13595667,0.10146056,0.19435468,0.118663326,0.13849711,0.20743892,0.2032932)"
4,Your cellphone looks great.,2,S,"(0.5202485,0.51762927,0.5470402,0.68771255,1.0,0.76171017,0.5069135,0.5520131,0.034116287,-0.0065610483,0.028669918,0.092641994,0.02685776,0.051661678,0.18812129,0.059229903,0.005453334,0.114240676,0.09113173,0.12850596,0.14437762,0.18259072,0.14589208,0.09194795,0.15896863,0.1398712,0.14054474,0.15800393,0.12080213,0.105849616,0.06761372,0.21702069)"
5,Your cellphone looks better than mine.,1,S,"(0.47544384,0.52875066,0.5212574,0.52659565,0.76171017,1.0000002,0.5843265,0.7386638,0.013022115,0.07665219,-0.036836546,0.113126785,0.05710319,-0.027790897,0.24216378,0.056200985,0.06753092,0.08654463,0.080211364,0.15388693,0.17142504,0.26413774,0.27692145,0.11986785,0.16474602,0.18972862,0.15283787,0.06391089,0.20666522,0.11012587,0.17112085,0.12740245)"
6,"Thanks, my cellphone is also brand new!",2,A,"(0.41546053,0.47946915,0.29936624,0.40452147,0.5069135,0.5843265,1.0000001,0.6651208,0.08906704,0.05162332,-0.050510924,0.058355108,0.034478202,0.037160154,0.08845881,0.061591793,0.0073488695,0.1819821,0.055074293,0.11687216,0.14295216,0.21216848,0.17498568,0.055297203,0.14337924,0.113868244,0.08927504,0.024204388,0.15198222,-0.016819173,0.07969504,0.01109132)"
7,"Thanks, but my cellphone is not as good as yours.",1,A,"(0.4571042,0.5994167,0.4700976,0.46409044,0.5520131,0.7386638,0.6651208,0.9999999,0.056446735,0.1211822,-0.03471059,0.16562533,0.13672669,-0.012386756,0.13768198,0.07440385,0.11351502,0.07127666,0.0013470063,0.117190704,0.10323055,0.17440969,0.22288074,0.14470449,0.16462772,0.13655542,0.1098811,0.020729534,0.25251526,0.06899327,0.28761974,0.05937834)"
8,Will it snow tomorrow?,0,Q,"(0.09288537,0.08760293,0.062296126,0.08430824,0.034116287,0.013022115,0.08906704,0.056446735,0.99999994,0.7030668,0.65164065,0.54007286,0.6831357,0.43762645,0.30425858,0.60916543,0.2697162,0.18421651,0.28097308,0.074073106,0.06445038,0.04248572,-0.0075965226,-0.038385503,-0.006192453,-0.03086371,0.09230554,0.08095504,0.03941513,0.0120776165,0.00967678,0.034044463)"
9,"I don't know, really. Do you think it will snow?",0,A,"(0.16374406,0.17922145,0.12633386,0.08931596,-0.0065610483,0.07665219,0.05162332,0.1211822,0.7030668,0.9999999,0.7856884,0.65957487,0.8434136,0.4665298,0.30664912,0.64331436,0.33477733,0.16220795,0.24929821,0.05602505,0.05763401,0.07569307,0.048841573,0.056642726,0.08030406,0.08017355,0.08431435,0.012476187,0.040494405,0.08336509,0.15785722,-0.030945811)"
